content,brand,model,score,sentiment_original,neg,neu,pos,compound,sentiment_vader
Działa! :) I to bardzo dobrze :),Apple,iPhone12‌Pro256GB(niebieski),70,P,0.0,0.443,0.557,0.7424,P
Za krótki czas aby móc ocenić,Apple,iPhone12‌Pro256GB(niebieski),70,P,0.0,1.0,0.0,0.0,P
za taką cenę słaba kamerka,Apple,iPhone12‌Pro256GB(niebieski),70,P,0.0,1.0,0.0,0.0,P
"Głównym kryterium wyboru tego telefonu był rozmiar i tu się nie rozczarowałem jest idealnie.
Jakość wykonania i spasowania idealna z zastrzeżeniem że telefon jest śliski (bez etui dla mnie nieużywalny).
Na końcu ocenię system iOS. Dla mnie jako osoby używającej dotychczas androida i windowsa system iOS jest ułomny.
Może za krótko (dwa tygodnie) go używam i się po pewnym przekonam do iOS, ale na dzień dzisiejszy jedną gwiazdkę odejmuje za system.
Gdyby był na nim android to byłby dla mnie ideał.

ps.
Zapomniałem wspomnieć o baterii, jak na tą pojemność jest bardzo dobrze. Przy moim użytkowaniu niewiele ustępuje Pixelowi 2XL którego dotychczas użytkowałem.",Apple,iPhone12‌Pro256GB(niebieski),80,P,0.034,0.966,0.0,-0.5574,N
"Dobry telefon, robi fantastyczne zdjęcia w nocy. Jest szybki",Apple,iPhone12‌Pro256GB(niebieski),80,P,0.0,1.0,0.0,0.0,P
"Telefon jak telefon. Dla siebie bym go nie kupił, bo w tych cenach znalazłbym dużo fajniejszego flagowca innej marki, o dużo lepszych parametrach. Co najmniej 30% jest tu opłaty za jabłuszko. Córka sobie chwali i dla mnie to jest najważniejsze.",Apple,iPhone12‌Pro256GB(niebieski),80,P,0.0,1.0,0.0,0.0,P
"Jest dobrze ale nie idealnie, po przejście z Androida brakuje kilku opcji np zamknięcia wszystkich appek w tle jednym przyciskiem",Apple,iPhone12‌Pro256GB(niebieski),80,P,0.15,0.75,0.1,-0.296,N
"Zamówiłam we wtorek, w czwartek już była przesyłka. Jedyny minus za zapakowanie pudełka z telefonem tylko w kawałek kartonu.",Apple,iPhone12‌Pro256GB(niebieski),80,P,0.0,1.0,0.0,0.0,P
"wysokiej jakosci ekran, szybkosc pracy, pracuje na jednej baterii przy moich potrzebach dwa dni",Apple,iPhone12‌Pro256GB(niebieski),80,P,0.0,1.0,0.0,0.0,P
"Za szybko by ocenic, ale skok z iPhone 8 na mini 12 hest odczuwalny",Apple,iPhone12‌Pro256GB(niebieski),80,P,0.0,1.0,0.0,0.0,P
"Jedynymi minusami to waga iphona, no i czas pracy baterii.",Apple,iPhone12‌Pro256GB(niebieski),80,P,0.196,0.804,0.0,-0.296,N
Wszytsko pieknie ładnie ale brak ładowarki tylko kabel :(,Apple,iPhone12‌Pro256GB(niebieski),80,P,0.266,0.734,0.0,-0.4404,N
"Świetny telefon, tylko bateria trochę mnie zawiodła.",Apple,iPhone12‌Pro256GB(niebieski),80,P,0.0,1.0,0.0,0.0,P
Super produkt jakiego sie spodziewałem pi tej marce,Apple,iPhone12‌Pro256GB(niebieski),80,P,0.0,0.642,0.358,0.5994,P
"Super jakość i bardzo dobry soft, minus to bateria",Apple,iPhone12‌Pro256GB(niebieski),80,P,0.0,0.672,0.328,0.5994,P
"Wysoka jakość wykonania, dobre wymiary poreczne",Apple,iPhone12‌Pro256GB(niebieski),80,P,0.0,1.0,0.0,0.0,P
Jest ok. Nie duza roznica wzgledem 11 pro.,Apple,iPhone12‌Pro256GB(niebieski),80,P,0.0,1.0,0.0,0.0,P
Brak różnicy między 11 a 12 praktycznie,Apple,iPhone12‌Pro256GB(niebieski),80,P,0.0,1.0,0.0,0.0,P
"Telefon jak telefon, jest spoko.",Apple,iPhone12‌Pro256GB(niebieski),80,P,0.0,1.0,0.0,0.0,P
Zadowoleni jesteśmy :),Apple,iPhone12‌Pro256GB(niebieski),90,P,0.0,0.4,0.6,0.4588,P
Niezawodny.,Apple,iPhone12‌Pro256GB(niebieski),90,P,0.0,1.0,0.0,0.0,P
"Telefon sprzętowo znakomicie. Kolor biały jest przyjemny taki offwhite a srebrna ramka łapie delikatną poświatę złota/miedzi ale może to złudzenie. W końcu iPhone który ma gabaryty ponownie pozwalające na obługe jedną ręką. Po przesiadce z większego ekran potrzeba chwilę aby nie przyzwyczaić. Design, wykonanie jak zawsze na wysokim poziomie. Niewielki minus za nieco słabą baterię",Apple,iPhone12‌Pro256GB(niebieski),90,P,0.062,0.938,0.0,-0.5574,N
"Wygląd i wykonanie fenomenalne. Jest bardzo poręczny, można obsługiwać jedną ręką. Jedyne czego mi brakuje w tych pandemicznych czasach to brak odblokowywania na odcisk palca (dlatego ocena 4.5). Podejrzewam, że w normalnych okolicznościach nie byłoby to absolutnie problemem, ponieważ FaceID działa szybko, może nawet szybciej niż odcisk palca.",Apple,iPhone12‌Pro256GB(niebieski),90,P,0.0,1.0,0.0,0.0,P
"Jestem bardzo zadowolony z zakupu i nie mam zanadrzu do czego się czepiać. Wygląd oceniam jako dobry tak samo system oceniam na bardzo dobry używam telefonu od 2 miesięcy.
Jedyny minus to brak ładowarki w zestawie ale poza tą dziwną polityką jest naprawdę dobrze.",Apple,iPhone12‌Pro256GB(niebieski),90,P,0.0,1.0,0.0,0.0,P
"Świetny telefon, mały, poręczny i wygodny. Nie jest to mój pierwszy iPhone i obawiałam się, że przy tych gabarytach bateria wypadnie fatalnie. Jestem pozytywnie zaskoczona. Wytrzymuje stosownie, ładuje się bardzo szybko. Polecam, kolor czerwony wygląda super",Apple,iPhone12‌Pro256GB(niebieski),90,P,0.0,0.9,0.1,0.5994,P
"iPhone 12 pro max, już od wielu lat używam iPhone począwszy od iPhone 4. Więc wybór mój był świadomy. iPhone 12 pro max to świetne urządzenie i nie zawodne. Jest szybki nie zawodny i piękny. Używanie go to sama przyjemność. Nie zdecydowanym gorąco polecam!!!",Apple,iPhone12‌Pro256GB(niebieski),90,P,0.0,1.0,0.0,0.0,P
"Kolor śliczny, kolosalna różnica między dotychczas używanym Samsungiem a iPhonem. Nie poznałam go jeszcze , wszystkich zalet ale śmiga jak błyskawica",Apple,iPhone12‌Pro256GB(niebieski),90,P,0.0,1.0,0.0,0.0,P
"Idealny, śmiga świetnie. Świetne zdjęcia fajny design nawiązujący do iPhone 5. Rewelacyjne naprawdę. Jedyny minus to brak kostki do ładowary",Apple,iPhone12‌Pro256GB(niebieski),90,P,0.0,1.0,0.0,0.0,P
"Wykonanie OK. Funkcjonalność i łatwość obsługi - typowe dla Apple`a. Czas pracy na baterii - max. 1,5 dnia.",Apple,iPhone12‌Pro256GB(niebieski),90,P,0.0,1.0,0.0,0.0,P
Niektóre rzeczy bardzo mocno ograniczone w porównaniu do Androida ale myślę że to tylko kwestia przyzwyczajenia.. (Mam nadzieje :D),Apple,iPhone12‌Pro256GB(niebieski),90,P,0.0,1.0,0.0,0.0,P
"wszystko super ale ceramic shield to lipa, może i lepiej wytrzymuje uderzenia ale na zarysowania kompletnie nie jest odporny",Apple,iPhone12‌Pro256GB(niebieski),90,P,0.0,0.822,0.178,0.5994,P
Telefon super ale pierwsze uruchomienie i aktualizacja oprogramowania to porażka o strata 3 godz. W moim przypadku :(,Apple,iPhone12‌Pro256GB(niebieski),90,P,0.127,0.702,0.171,0.25,P
"Przesiadka z androida, czas pokaże.użytkuje intensywnie, wiec wszystko wyjdzie. Narazie jest ok, wszystko pasuje.",Apple,iPhone12‌Pro256GB(niebieski),90,P,0.0,1.0,0.0,0.0,P
"klasa sama dla siebie, mogłaby jeszzce trochę dłużej trzymać bateria (dlatego odejmuję pół gwiazdki)",Apple,iPhone12‌Pro256GB(niebieski),90,P,0.0,1.0,0.0,0.0,P
"W ujęciu ogólnym produkt bardzo dobry, spełni oczekiwania każdego kto potrzebuje telefonu małego.",Apple,iPhone12‌Pro256GB(niebieski),90,P,0.0,1.0,0.0,0.0,P
"Za wczesnie na ocene na razie wyglada bardzo dobrze, brak USB C ale to pewnie pojawi sie w 13",Apple,iPhone12‌Pro256GB(niebieski),90,P,0.0,1.0,0.0,0.0,P
Genialny aparat albo aparaty - można robić zdjęcia makro i mikro. Jestem zachwycona!,Apple,iPhone12‌Pro256GB(niebieski),90,P,0.0,1.0,0.0,0.0,P
"świetnie wykonany, super zoptymalizowany system, dobrze trzymająca bateria.",Apple,iPhone12‌Pro256GB(niebieski),90,P,0.0,0.642,0.358,0.5994,P
Super telefon ☺️ Do rozmiaru bardzo szybko się przyzwyczaiłam,Apple,iPhone12‌Pro256GB(niebieski),90,P,0.0,0.537,0.463,0.7845,P
"Bardzo dobry, porównywalny z innymi modelami iPhone ;)",Apple,iPhone12‌Pro256GB(niebieski),90,P,0.0,0.787,0.213,0.2263,P
Telefon super. Córka zadowolona. Bardzo udany zakup,Apple,iPhone12‌Pro256GB(niebieski),90,P,0.0,0.606,0.394,0.5994,P
"super telefon , bateria trzyma pięknie , elegancki",Apple,iPhone12‌Pro256GB(niebieski),90,P,0.0,0.642,0.358,0.5994,P
"Jak zawsze dopracowany na maxa, bardzo dobry aparat",Apple,iPhone12‌Pro256GB(niebieski),90,P,0.0,1.0,0.0,0.0,P
Najlepszy na rynku. Niezawodny.Doskonały do pracy.,Apple,iPhone12‌Pro256GB(niebieski),90,P,0.0,1.0,0.0,0.0,P
"polecam 100%, najlepszy telefon w tym rozmiarze",Apple,iPhone12‌Pro256GB(niebieski),90,P,0.0,1.0,0.0,0.0,P
Wszystko na najwyższym poziomie łatwa obsługa,Apple,iPhone12‌Pro256GB(niebieski),90,P,0.0,1.0,0.0,0.0,P
Jak to Iphone… świetna jakość za wysoką cenę,Apple,iPhone12‌Pro256GB(niebieski),90,P,0.0,1.0,0.0,0.0,P
To mój pierwszy iPhone już się zakochałam,Apple,iPhone12‌Pro256GB(niebieski),90,P,0.0,1.0,0.0,0.0,P
Świetny! Najlepszy IPhone jaki posiadałem!,Apple,iPhone12‌Pro256GB(niebieski),90,P,0.0,1.0,0.0,0.0,P
Super telefon. Polecam dla fanów Apple.,Apple,iPhone12‌Pro256GB(niebieski),90,P,0.0,0.562,0.438,0.5994,P
Córka zachwycona więc ja też polecam,Apple,iPhone12‌Pro256GB(niebieski),90,P,0.0,1.0,0.0,0.0,P
Za krótko go posiadam żeby go oceniać,Apple,iPhone12‌Pro256GB(niebieski),90,P,0.0,1.0,0.0,0.0,P
Wysoka jakość. Szybkie działanie.,Apple,iPhone12‌Pro256GB(niebieski),90,P,0.0,1.0,0.0,0.0,P
"Zgodnie z oczekiwaniami,b.dobrze.",Apple,iPhone12‌Pro256GB(niebieski),90,P,0.0,1.0,0.0,0.0,P
Najlepszy telefon jaki miałem.,Apple,iPhone12‌Pro256GB(niebieski),90,P,0.0,1.0,0.0,0.0,P
"Rewelacyjny produkt, polecam",Apple,iPhone12‌Pro256GB(niebieski),90,P,0.0,1.0,0.0,0.0,P
Nie mam żadnych zastrzeżeń.,Apple,iPhone12‌Pro256GB(niebieski),90,P,0.0,1.0,0.0,0.0,P
Wykonany jak to iphone super,Apple,iPhone12‌Pro256GB(niebieski),90,P,0.0,0.506,0.494,0.5994,P
"Bardzo szybka Wysylka produkty, zamówiłem o godzinie 16 popołudniu a rano miałem telefon na miejscu. 
Polecam Polecam! :)",Apple,iPhone12‌Pro256GB(niebieski),100,P,0.0,0.838,0.162,0.5093,P
Niewielki smartfon dobrze trzymający się w ręce i nie zajmujący dużo miejsca w kieszeni. Bardzo płynna praca i łatwość w przenoszeniu danych ze starszej wersji iPhone (uprzednio posiadałem siódemkę). No i jeszcze ładowanie indukcyjne. Właśnie takiego czegoś szukałem.,Apple,iPhone12‌Pro256GB(niebieski),100,P,0.056,0.944,0.0,-0.296,N
Super pod każdym względem.,Apple,iPhone12‌Pro256GB(niebieski),100,P,0.0,0.435,0.565,0.5994,P
"Przeszedłem z androida, głównie ze względu na rozmiar telefonu, który przy rozmiarach nie przypominających paletki do Ping ponga jest topowy i wodoodporny co było priorytetem. Używam go od niecałych dwóch tygodni i na razie nie mogę powiedzieć złego słowa. Co do braku ladowarki to jest oczywiście minus ale kupiłem dwu portową ładowarkę green cella i jestem mega zadowolony, polecam.",Apple,iPhone12‌Pro256GB(niebieski),100,P,0.0,1.0,0.0,0.0,P
"Ani trochę nie żałuję zakupu. Od wielu lat stały klient marki Apple. Najbardziej zadowolony jestem z funkcjonalności aparatów i dość wytrzymałej baterii, a na tym najbardziej mi zależało. No i oczywiście rozdzielczość ekranu - na początku wydawał się za duży, ale po czasie użytkowania jest w sam raz. Polecam!",Apple,iPhone12‌Pro256GB(niebieski),100,P,0.115,0.885,0.0,-0.7263,N
"Od czasów samsunga S3 zawsze miałem andrioda, zakończyłem na huwawei P30Pro. Moja pierwsza przesiadka na iPhone czyli start od iPhone 12. Nie wiem jak się spisuje w porównaniu z wcześniejszymi iPhonami. Po 2 dniach stwierdzam ze telefon jest super. Bateria trzyma 1 pełen dzień ciągłej zabawy, wiec to samo co 4600mAh na andriodzie. Podoba mi się wygląd, szybkość działania rewelacyjna, wyświetlacz na najwyższym poziomie, zdjęcia robi ok, płatności NFC ok, Face ID super ale w czasach ZORRO brakuje mi trochę odcisku palca, zaczynam się przyzwyczajać do OBSLUGI . Telefon jest łatwy w obsłudze mimo ze wydawało mi się ze będzie trudniej. Mogę polecić nawet zatwardziałym androidowca do których należałem :). Jestem bardzo zadowolony, cena iPhone 12 jest wysoka, czy iPhone 12 jest jej warty ?  Tak...
Ps: moja kobieta chce się zamienić za Samsona s20 hehehe.",Apple,iPhone12‌Pro256GB(niebieski),100,P,0.054,0.893,0.053,-0.0601,N
"jak za 3300, to bardzo spoko telefon. Wspaniałe głośniki, całkiem w porządku tryb nocny oraz masa fajnych funkcji, których nie ma w androidzie",Apple,iPhone12‌Pro256GB(niebieski),100,P,0.0,1.0,0.0,0.0,P
Super produkt! Produkt Roku! Jestem zachwycony - takie mała a cieszy ;-P,Apple,iPhone12‌Pro256GB(niebieski),100,P,0.0,0.71,0.29,0.6688,P
"Jak to iPhone... rewelacja! Miałam 6s, 8 Plus, X, 11 i z obecną 12 pro z pewnością zostanę na dłużej.",Apple,iPhone12‌Pro256GB(niebieski),100,P,0.0,1.0,0.0,0.0,P
"Robi wrażenie, dopracowany w każdym calu od opakowania przez folie zabezpieczenia wszystko wyglada perfekcyjnie. Telefon mistrzostwo",Apple,iPhone12‌Pro256GB(niebieski),100,P,0.0,1.0,0.0,0.0,P
"Ten kto nie miał nigdy telefonu Apple - to i tak nie zrozumie. Po prostu najlepszy możliwy telefon na świecie. Płynne działanie systemu, doskonałe zdjęcia i mnóstwo mikro ułatwień w codziennym użytkowaniu. Takie rzeczy jak, bierzesz telefon do ręki a on od razu się włącza i odblokowuje (FaceID). Logujesz się do banku bez szukania czytnika linii papilarnych i zbędnej zwłoki (znowu FaceID). Dotykasz dwa razy plecków telefonu i robi np. zrzut ekranu. Wiele, wiele tego typu smaczków (skróty), wbudowana aplikacja do obróbki zdjęć prawie jak Lightroom. Niesamowita, niespotykana jakość nagrań video w trybie Dolby Vision - ten kto tego nie oglądnął na np. TV Oled (LG C9) to nie wie jakie możliwości ma ten telefon. Po prostu bajka. Funkcja AR (skaner LidaR) jeszcze nie raz zaskoczy - oglądanie ludzkiego ciała z każdej strony, stojącego na środku Twojego pokoju, rewelacja, mierzenie co do dziesiątej centymetra za pomocą aplikacji Miarka. Najlepszy wyświetlacz jaki wbudowano w telefon - poczytajcie profesjonalne recenzje. Po prostu sprzęt wart swojej ceny i tyle. Np. wiecie, że procesor A14Bionic jest szybszy od Waszych intel i7 w komputerach?>",Apple,iPhone12‌Pro256GB(niebieski),100,P,0.058,0.932,0.011,-0.8689,N
"Kupując go wiedziałam ze będzie mały jednak 5,4 ekran wyobrażałam sobie ciut większy :) 
pierwsze wrażenie po otwarciu pudełka eee ale co to zabawka dla dziecka? 
No i odrazu wątpliwość czy za taki pieniądz warto było. 
Potem pierwsza zabawa i wyszukiwanie wad:
- pisali ze ekran nie działa idealnie (jak ktoś zainteresowany to wie o czym pisze) jak leży na płasko no tak nie działa ale po co komu włączać latarkę jak telefon leży.... poza tym już jest aktualizacja i mogę sobie swieci w blat ;)
- ekran jakiś żółty hmm no jest inny ale tylko jak się położy go obok innego modelu przy normalnym użytkowaniu nie widać, 
- bateria ojej będzie bardzo słaba ... no może potwór mocy to nie jest ale da się z nią żyć teraz chyba większość telefonów działa nie za długo na jednym ladowaniu.
Zalety:
- genialne zdjęcia ... nie wiem o co chodzi z tymi pikselami bo ten telefon ma ich niby tylko 12 ale foty wychodzą o nibo lepiej od telefonu konkurencji z 48 pikselami
- wygoda użytkowania... telefonik leży idealnie w ręku, ręką nie boli, na palcu nic się nie odciska od trzymania, nie ma uczucia ze się wyśliźnie z ręki
- ekran lany wyraźny.
Telefon polecam raczej kobiecie ze względu na rozmiar i sobie która jest pewna ze dogada się z takim maluchem. Nie do końca jestem przekonana czy ktoś kto posiada telefon z ekranem wielkości okol 6 będzie potrafił rozmawiać z tym maleństwem bo jednak jest już przyzwyczajony do innych norm. Jednak jeżeli ktoś przesiada się z modelu 6,7,8 myślę ze pokocha MINI. Ja w ogólnym podsumowaniu jestem nim zachwycona i myślę ze będzie to mój ulubiony telefon (ost. aż tak zachwycona byłam 4)",Apple,iPhone12‌Pro256GB(niebieski),100,P,0.054,0.93,0.017,-0.8779,N
"Dużo czytałem na temat modelu na który się zdecydowałem IPhone 12 . Recenzji sporo przejrzałem a i nawet opinie czytałem gdzie się da. Powiem tak z wyboru jestem zadowolony. System w IPhonie chodzi płynnie zdjęcia mi osobiście się bardzo podobają, tryb w nocy działa super. Nakręcenie filmu tym telefonem też pozwala uzyskać bardzo dobrą jakość jak na moje potrzeby. Bateria i tego się bałem najbardziej ale podnosząc telefon z ładowarki w wtorek rano o 8 czwartek 23:00 jeszcze 22% na nim jest . Także Polecam. Wybrałem czerwony kolor i mnie się bardzo podoba . Nie żałuje zakupu z pewnością bym wybrał ten model powtórnie :)",Apple,iPhone12‌Pro256GB(niebieski),100,P,0.0,0.937,0.063,0.7845,P
"Everything was ok, fast delivery, goods not damaged, packed well. Good price and quality, super 👍🏻",Apple,iPhone12‌Pro256GB(niebieski),100,P,0.067,0.592,0.341,0.8122,P
"Super, ""przesiadka"" z iPhone 8 na to cudo to jak skok na drugą stronę planety. Sprwniejszy i szybszy interfejs, optymalne funkcje. Głęia kolorów i jakoś odsłuchu, dźwięku zarówno w rozmowach jak podczas muzyki dużo lepsza. To dobry wybór uważam. Kolor niestety nie trafiony. Niebieski jednak nie podoba mi się, jest taki nijaki :( Bede musiała z nim życ :) Kupiłam jednak oryginalny skórzany pokrowiec i od razu prezentuje sie i trzyma w ręku o wiele lepiej. Bez pokrowca obawiałam sie, że wyśliźnie mi się z rąk i zbije, bo jest dość cienki i śliski z uwagi na zastosowane materiały i rozwiązania.",Apple,iPhone12‌Pro256GB(niebieski),100,P,0.027,0.909,0.064,0.6124,P
"Po 2 tygodniach używania jestem bardzo zadowolona, jest to mój pierwszy iPhone i ma super jakość, a jest tak lekki i poręczny. Aparat robi wspaniałe zdjęcia, kolory są żywe i realistyczne, dźwięk też bardzo dobry, nawet bez głośnika jakość jest super. Ekran jest mniejszy niż miałam (wcześniej 6,1 cala) i to może być plus i minus jedocześnie, ale przyzwyczaiłam się do niego po 2 dniach, a za to w końcu nie wypada mi z rąk, mogę pisać jedną ręka, mieści się w cały w kieszeni, polecam osobom z małymi dłońmi. 😄 I jeszcze poza tym jest bardzo ładnym smartfonem. 😃",Apple,iPhone12‌Pro256GB(niebieski),100,P,0.058,0.815,0.127,0.8225,P
"Produkt wykonany z myślą o wymagającym użytkowniku. Największa zaleta jest przede wszystkim aparat, którym wykonane zdjęcia nie różnią się od otaczającej nas rzeczywistości.",Apple,iPhone12‌Pro256GB(niebieski),100,P,0.0,1.0,0.0,0.0,P
"Przeszedlem na 12 pro max z 6s i jestem bardzo zadowolony, wszystko super działa mega aparat i długi czas baterii, polecam",Apple,iPhone12‌Pro256GB(niebieski),100,P,0.0,0.837,0.163,0.5994,P
Produkt premium bardzo dobrej jakości. Jestem bardzo zadowolony po zmianie z 6,Apple,iPhone12‌Pro256GB(niebieski),100,P,0.247,0.753,0.0,-0.5574,N
"Rewelacja !!nigdy nie zmienię iPhone na  inny telefon ,",Apple,iPhone12‌Pro256GB(niebieski),100,P,0.0,1.0,0.0,0.0,P
"bardzo dobra jakość wykonania, oryginalny design",Apple,iPhone12‌Pro256GB(niebieski),100,P,0.0,1.0,0.0,0.0,P
"To już jest 3 mój iPhone. Jak z każdego jestem mega zadowolony. Na 12 mini przesiadałem się z 8. Martwiła mnie wielkość ekranu oraz bateria w tym modelu lecz co do ekranu jest duży 5,4 cala, a bateria daje radę mimo różnych opinii. Kompaktowość tego modelu jest zachwycająca. iPhone jest poręczny, szybki i bardzo responsywny na dotyk. Aparat to jest coś pięknego. Jak i ten z przodu jaki i te z tylu. Tylnie 2 obiektywy robią robotę. Zdjęcia są kosmicznej jakości a tryb nocny naprawdę daje radę. Polecam",Apple,iPhone12‌Pro256GB(niebieski),100,P,0.0,1.0,0.0,0.0,P
Dobry produkt za stosunkowo wysoką cenę.,Apple,iPhone12‌Pro256GB(niebieski),100,P,0.0,1.0,0.0,0.0,P
"Rewelacyjny, funkcjonalny, ładny kolor",Apple,iPhone12‌Pro256GB(niebieski),100,P,0.0,1.0,0.0,0.0,P
Super!,Apple,iPhone12‌Pro256GB(niebieski),100,P,0.0,0.0,1.0,0.636,P
Produkt pierwsza klasa. Szybka dostawa,Apple,iPhone12‌Pro256GB(niebieski),100,P,0.0,1.0,0.0,0.0,P
Rewelacja,Apple,iPhone12‌Pro256GB(niebieski),100,P,0.0,1.0,0.0,0.0,P
"wykonanie bardzo dobre, jakość materiałów bardzo dobra, genialny czas pracy na baterii - dawno nie miałem smartfona pracującego do 2 dni! zdjęcia super, a zwłaszcza tryb nocny! genialna sprawa z możliwością zrobienia fotek nawet gwiazd (jasne że trzeba mieć odpowiednie miejsce). Obsługa taka jak każdego iphone, chociaż jednoręcznie to się mało zrobi :) no ale to jest paletka do pingponga i tyle - za to oglądanie filmów jest bardzo przyjemne :) twarz rozpoznaje często nawet w maseczce... co mnie nieco zaskoczyło :)",Apple,iPhone12‌Pro256GB(niebieski),100,P,0.024,0.831,0.145,0.9059,P
super trzyma się w dłoni,Apple,iPhone12‌Pro256GB(niebieski),100,P,0.0,0.506,0.494,0.5994,P
Szybko i tanio. POLECAM,Apple,iPhone12‌Pro256GB(niebieski),100,P,0.0,1.0,0.0,0.0,P
"Okej telefon, kupiłem w sklepie Vobis bo miał najtaniej. Teoretycznie zamówiłem za kwotę 2982zl (kwota wyjściowa 2999zl; kod z newslettera -20zl; 3zl przesyłka pobraniowa) a przy kurierze kwota 2999 zł. Ja nie mam siły się szarpać o 17 zł jednak zaznaczam że taka sytuacja miała miejsce. Sam iPhone był dobrze zapakowany, zaplombowany fabrycznie, nigdy nie aktywowany. Co do samego telefonu - dobrze wykonany, szybki, poręczny. Towar z wyższej półki więc ciężko tak szczerze na coś narzekać - za coś płacimy.",Apple,iPhone12‌Pro256GB(niebieski),100,P,0.0,1.0,0.0,0.0,P
"Początkowo obawiałem się, że ekran będzie zbyt mały do codziennego użytkowania - do tej pory korzystałem z ekranów min. 5,7 cala. I faktycznie pierwsze dni spędziłem na adaptacji wzroku, literki w niektórych aplikacjach są na prawdę nieduże. Po kilku dniach telefonu używa się świetnie - bateria trzyma dwa dni przy normalnym użytkowaniu - portale społecznościowe, Youtube, telefon. Poza tym, pod spodem ma wszystko to co 'zwykły' iPhone 12, czyli szybki procesor, dobry aparat. Polecam.",Apple,iPhone12‌Pro256GB(niebieski),100,P,0.047,0.953,0.0,-0.5574,N
Отличное качество,Apple,iPhone12‌Pro256GB(niebieski),100,P,0.0,1.0,0.0,0.0,P
